421													
1	1													
2	0													
3	0													
4	0													
5	0													
6	0													
7	3													
8	3													
9	0													
10	1													
11	0													
12	0													
13	2													
14	2													
15	0													
16	0													
17	0													
18	0													
19	0													
20	0													
21	0													
22	0													
23	0													
24	2													
25	0													
26	0													
27	2													
28	5													
29	2													
30	5													
31	3													
32	4													
33	16													
34	10													
35	9													
36	12													
37	5													
38	5													
39	6													
40	0													
41	7													
42	1													
43	7													
44	7													
45	10													
46	26													
47	46													
48	17													
49	12													
50	9													
51	8													
52	6													
53	11													
54	6													
55	11													
56	17													
57	17													
58	8													
59	6													
60	6													
61	13													
62	13													
63	14													
64	15													
65	22													
66	22													
67	19													
68	24													
69	16													
70	20													
71	20													
72	20													
73	10													
74	8													
75	10													
76	11													
77	5													
78	3													
79	2													
80	8													
81	3													
82	5													
83	1													
84	2													
85	2													
86	1													
87	1													
88	2													
89	1													
90	4													
91	1													
92	1													
93	2													
94	13													
95	18													
96	21													
97	11													
98	8													
99	5													
100	12													
101	6													
102	4													
103	1													
104	7													
105	9													
106	4													
107	3													
108	3													
109	6													
110	7													
111	8													
112	20													
113	24													
114	19													
115	9													
116	6													
117	2													
118	13													
119	20													
120	15													
121	14													
122	28													
123	29													
124	15													
125	18													
126	13													
127	19													
128	25													
129	30													
130	12													
131	8													
132	12													
133	12													
134	24													
135	18													
136	17													
137	14													
138	8													
139	4													
140	11													
141	8													
142	17													
143	17													
144	14													
145	7													
146	8													
147	9													
148	13													
149	11													
150	7													
151	16													
152	3													
153	3													
154	11													
155	7													
156	8													
157	8													
158	7													
159	13													
160	7													
161	6													
162	7													
163	9													
164	6													
165	10													
166	3													
167	21													
168	17													
169	12													
170	20													
171	11													
172	7													
173	9													
174	7													
175	8													
176	3													
177	9													
178	2													
179	4													
180	5													
181	9													
182	6													
183	9													
184	10													
185	16													
186	13													
187	13													
188	7													
189	17													
190	23													
191	35													
192	71													
193	150													
194	91													
195	128													
196	152													
197	134													
198	127													
199	127													
200	147													
201	97													
202	142													
203	156													
204	107													
205	162													
206	118													
207	166													
208	70													
209	103													
210	87													
211	65													
212	46													
213	56													
214	58													
215	44													
216	81													
217	47													
218	36													
219	64													
220	38													
221	34													
222	41													
223	36													
224	50													
225	80													
226	39													
227	32													
228	20													
229	23													
230	39													
231	41													
232	24													
233	67													
234	12													
235	48													
236	6													
237	26													
238	36													
239	30													
240	21													
241	24													
242	8													
243	19													
244	19													
245	40													
246	10													
247	21													
248	25													
249	24													
250	31													
251	20													
252	26													
253	21													
254	19													
255	18													
256	19													
257	16													
258	12													
259	15													
260	17													
261	21													
262	21													
263	27													
264	14													
265	20													
266	31													
267	33													
268	50													
269	46													
270	45													
271	25													
272	22													
273	43													
274	49													
275	40													
276	37													
277	55													
278	45													
279	36													
280	44													
281	53													
282	74													
283	69													
284	85													
285	71													
286	98													
287	92													
288	109													
289	132													
290	156													
291	121													
292	112													
293	134													
294	142													
295	212													
296	203													
297	177													
298	156													
299	158													
300	154													
301	200													
302	261													
303	296													
304	235													
305	243													
306	238													
307	230													
308	259													
309	252													
310	260													
311	364													
312	392													
313	219													
314	249													
315	382													
316	427													
317	588													
318	378													
319	295													
320	333													
321	331													
322	376													
323	348													
324	568													
325	430													
326	343													
327	301													
328	523													
329	388													
330	359													
331	363													
332	248													
333	191													
334	331													
335	194													
336	260													
337	298													
338	191													
339	187													
340	186													
341	140													
342	167													
343	148													
344	138													
345	120													
346	154													
347	145													
348	129													
349	102													
350	145													
351	123													
352	112													
353	128													
354	132													
355	101													
356	101													
357	130													
358	104													
359	113													
360	152													
361	100													
362	109													
363	126													
364	190													
365	170													
366	125													
367	145													
368	143													
369	111													
370	91													
371	175													
372	184													
373	163													
374	131													
375	151													
376	149													
377	161													
378	258													
379	188													
380	174													
381	131													
382	124													
383	113													
384	117													
385	144													
386	119													
387	130													
388	127													
389	119													
390	92													
391	126													
392	118													
393	121													
394	131													
395	127													
396	131													
397	100													
398	102													
399	139													
400	137													
401	140													
402	140													
403	112													
404	112													
405	80													
406	119													
407	123													
408	146													
409	118													
410	124													
411	108													
412	97													
413	139													
414	125													
415	124													
416	125													
417	139													
418	106													
419	145													
420	158													
421	199													
