k simulation binomial poisson
0 0 6.58801e-80 4.14559e-73
1 0 1.3176e-77 6.90932e-71
2 0 1.31628e-75 5.75776e-69
3 0 8.75767e-74 3.19876e-67
4 0 4.3657e-72 1.33282e-65
5 0 1.73929e-70 4.44272e-64
6 0 5.76866e-69 1.23409e-62
7 0 1.6383e-67 2.93831e-61
8 0 4.06708e-66 6.12147e-60
9 0 8.96565e-65 1.13361e-58
10 0 1.77699e-63 1.88934e-57
11 0 3.19859e-62 2.86264e-56
12 0 5.27233e-61 3.97589e-55
13 0 8.01395e-60 5.0973e-54
14 0 1.12997e-58 6.06821e-53
15 0 1.48553e-57 6.74245e-52
16 0 1.82906e-56 7.02339e-51
17 0 2.1174e-55 6.88568e-50
18 0 2.31268e-54 6.37563e-49
19 0 2.39058e-53 5.59265e-48
20 0 2.34516e-52 4.66055e-47
21 0 2.18881e-51 3.69885e-46
22 0 1.94804e-50 2.80216e-45
23 0 1.65668e-49 2.03055e-44
24 0 1.34882e-48 1.4101e-43
25 0 1.05316e-47 9.40068e-43
26 0 7.89867e-47 6.02608e-42
27 0 5.69874e-46 3.7198e-41
28 0 3.96063e-45 2.21417e-40
29 0 2.65499e-44 1.27251e-39
30 0 1.71866e-43 7.0695e-39
31 0 1.07555e-42 3.80081e-38
32 0 6.51379e-42 1.97959e-37
33 0 3.82142e-41 9.99791e-37
34 0 2.17372e-40 4.90094e-36
35 0 1.19989e-39 2.33378e-35
36 0 6.43275e-39 1.08045e-34
37 0 3.35198e-38 4.86691e-34
38 0 1.69893e-37 2.13461e-33
39 0 8.38137e-37 9.12226e-33
40 0 4.02725e-36 3.80094e-32
41 0 1.88593e-35 1.5451e-31
42 0 8.61242e-35 6.13134e-31
43 0 3.83753e-34 2.37649e-30
44 0 1.66933e-33 9.00185e-30
45 0 7.09279e-33 3.33402e-29
46 0 2.94505e-32 1.20798e-28
47 0 1.19556e-31 4.28361e-28
48 0 4.74739e-31 1.48736e-27
49 0 1.8447e-30 5.05906e-27
50 0 7.01724e-30 1.68635e-26
51 0 2.61426e-29 5.51096e-26
52 0 9.54206e-29 1.76633e-25
53 0 3.41354e-28 5.55451e-25
54 0 1.19727e-27 1.71436e-24
55 0 4.1186e-27 5.19502e-24
56 0 1.39003e-26 1.54614e-23
57 0 4.60416e-26 4.52086e-23
58 0 1.49715e-25 1.2991e-22
59 0 4.78072e-25 3.66977e-22
60 0 1.49955e-24 1.01938e-21
61 0 4.62157e-24 2.78519e-21
62 0 1.39989e-23 7.48708e-21
63 0 4.16855e-23 1.98071e-20
64 0 1.2206e-22 5.1581e-20
65 0 3.51534e-22 1.32259e-19
66 0 9.96014e-22 3.33987e-19
67 0 2.77695e-21 8.30814e-19
68 0 7.62026e-21 2.03631e-18
69 0 2.05858e-20 4.91862e-18
70 0 5.47581e-20 1.1711e-17
71 0 1.43451e-19 2.74906e-17
72 0 3.70183e-19 6.36356e-17
73 0 9.41177e-19 1.45287e-16
74 0 2.35803e-18 3.27223e-16
75 0 5.82276e-18 7.27161e-16
76 0 1.41738e-17 1.59465e-15
77 0 3.40172e-17 3.45163e-15
78 0 8.05074e-17 7.37527e-15
79 0 1.87918e-16 1.55597e-14
80 0 4.32682e-16 3.24159e-14
81 0 9.82883e-16 6.66995e-14
82 0 2.2031e-15 1.35568e-13
83 0 4.87336e-15 2.72225e-13
84 0 1.06402e-14 5.40129e-13
85 0 2.29327e-14 1.05908e-12
86 0 4.87986e-14 2.05247e-12
87 0 1.02533e-13 3.93194e-12
88 0 2.12756e-13 7.44686e-12
89 0 4.36031e-13 1.39454e-11
90 0 8.8272e-13 2.58249e-11
91 0 1.76544e-12 4.72983e-11
92 0 3.48866e-12 8.56853e-11
93 0 6.81227e-12 1.53558e-10
94 0 1.31462e-11 2.72266e-10
95 0 2.50747e-11 4.77659e-10
96 0 4.72763e-11 8.29269e-10
97 0 8.81191e-11 1.42486e-09
98 0 1.62391e-10 2.42323e-09
99 0 2.95912e-10 4.07952e-09
100 0 5.33234e-10 6.7992e-09
101 0 9.50318e-10 1.12198e-08
102 0 1.67517e-09 1.8333e-08
103 0 2.92097e-09 2.96651e-08
104 0 5.03868e-09 4.75401e-08
105 0 8.59935e-09 7.54606e-08
106 0 1.45215e-08 1.18649e-07
107 0 2.42659e-08 1.84811e-07
108 0 4.01286e-08 2.85202e-07
109 0 6.56784e-08 4.36089e-07
110 0 1.06399e-07 6.60741e-07
111 0 1.70622e-07 9.92103e-07
112 0 2.70862e-07 1.47634e-06
113 0 4.25709e-07 2.1775e-06
114 0 6.62463e-07 3.18348e-06
115 0 1.02077e-06 4.61374e-06
116 0 1.55755e-06 6.62893e-06
117 0 2.35363e-06 9.44292e-06
